#gene	differential_expression_T_test_p_value	4170686/tumor	4177987_tumor	4160468_tumor	4121361_tumor	4159170_tumor	4134005_tumor	4139696_tumor	4177601_tumor	4105105_tumor	4175837_tumor	4158726_tumor	4189200_tumor	4174905_tumor	4188900_tumor	normal_gcb_cells_SRR834985	normal_gcb_cells_SRR834984	normal_gcb_cells_SRR834986	normal_gcb_cells_SRR834983
A1BG	4.332433846365841e-05	1.9245604440254303	1.6504807056594328	1.6687227382360965	1.5460214980575935	2.468554532853025	0.7227910334552141	1.9293050643609202	2.5802189190045715	1.9185273710343118	2.9064831347690996	2.03427267887749	3.3771285388401187	1.868829230320547	3.2588503702339526	1.0307625475283249	1.052774542244499	0.7881282949322087	1.0730541271476082
A2M	1.8167513455803687e-07	3.3550981937532343	3.9814665088652665	2.2938387431103453	2.727493289280611	1.509658754450512	1.85745028960568	2.4817862611009156	2.8247127096037756	1.726832065468603	2.8901786967594854	4.416600391818269	1.281648730422105	2.674837607988198	1.5138940683589186	0.018264446484253537	0.08890141167505829	0.07979539470742167	0.016941553990069982
A4GALT	2.2637077521100288e-05	1.8695368430930803	1.1009194282648107	2.311174826066344	0.8392911444681245	0.9653741795607633	0.29813660940242026	0.6380359137169143	1.5474779635153146	1.8746889265815436	2.311174826066344	0.9111716996839492	1.5999874649652606	1.565520200162069	0.6785919902386595	3.4041850677049625	2.6916026830439304	2.843631453224711	2.8647719242584677
AAED1	5.2649635338466985e-06	0.6961024523400376	0.7528820038274106	0.9318155219582089	1.1424731261674266	0.8062689440142791	1.4164234886387386	1.529806364128297	1.0459104157899803	1.042171307193976	1.0777921384365003	0.9646798811459383	1.2464411155965374	1.1617278782449723	1.2812394008536874	0.4131981329623982	0.40294230505528766	0.5899701087565095	0.34256823874076864
AAMP	0.0013891113092578049	8.637341646916177	8.602837813529867	10.812038212234391	6.795111909159231	12.27326670159463	7.027222324130606	11.2679488629095	8.593552064141965	8.797726473659436	8.463188036294467	8.33941153406338	9.525070538714356	8.764934685708551	8.602837813529867	11.440720994384865	11.638317155098113	10.259894988323506	10.964499857787928
AARS	0.0004944383214543226	1.8826994725181285	2.848466086479868	2.143352831620683	2.303473876321941	1.7462699638788288	2.5821931269494347	3.6849678907466505	1.9067326452469022	1.8941464658035316	2.6525252523390823	2.1175488142386545	2.079974348203531	1.8863793598384824	2.3404980938440962	3.505130197828488	3.90951674083465	3.501411818335231	4.305665671477347
AASDH	3.6951812288934553e-07	1.4773080172449817	1.6916606824892158	1.7758842857876702	2.0873335250706115	1.5872038948438885	2.2149346978368905	1.580679070290696	1.388944571441174	2.456921160835205	1.6407242283966676	1.3367067692378485	2.2058322389439478	1.8786548495300752	1.515854604408424	0.989610769307505	0.9111716996839492	0.9840778849452632	0.8916453688293178
AATF	7.444942101055326e-08	0.4508867412140487	0.5420328153683538	0.6687649378361369	0.5120500347177823	0.6050351664451553	0.7655553652338539	0.7900198054004305	0.4268807453647241	0.62801176873288	0.7122829760592732	0.36627784687567416	0.5502532131534994	0.561800524512672	0.5586738736274335	0.9833481731252957	0.9362443050487224	1.0446971287027802	1.0197552981525773
ABCA2	3.894542304131213e-06	2.1553043314897256	1.7398351204467266	1.5011042762893687	2.0171969743089813	1.2493708147773368	0.9563521640344101	0.9785684432061923	2.995944197572824	1.0762198172770683	2.1156941053373606	2.708169817381782	1.376546325134958	1.2509625344253403	1.7963055671421155	0.5193535334930808	0.49798526349016	0.40466597423452905	0.37554287621724874
ABCA3	2.6180215762885366e-09	1.7106795340298067	1.7116501662893207	1.7484462491251427	1.7672742760038078	1.618215140442689	2.0858677851866734	1.8314432863682601	2.0151859378784724	2.3476019818725296	1.132059971077063	1.1403497305574286	2.4505818014722056	1.9622377963700894	1.3449375650950115	0.49006798300350457	0.32590153380523407	0.401417892456601	0.4342753429782448
ABCC1	3.520160995557379e-07	0.5451240593050968	0.5442391190387137	0.5878806999021419	0.487409338772683	0.5036354687692528	0.6737183418544158	0.5183341185188047	0.5495631445157377	0.8756568036657602	0.6332411270264563	0.5887285270183741	0.5808316990089956	0.6859106682987199	0.6123017206006277	0.9945137137647839	1.0295263004744382	1.1069149992870164	1.0001383013739753
ABCD4	0.00366286507726712	3.2881459970131726	2.1782722723201697	2.3068543642803214	2.662925697885119	3.822955388418692	2.6009643779585634	2.561176930597684	3.4080525799534986	3.940432962782953	2.3593230849031768	4.1294325533304335	3.9562782195508137	3.0802590534381897	3.3491234487502606	4.143386067495654	3.745864891717193	4.230007154537805	4.749318519433381
ABCF1	2.4815930612391357e-08	1.9154239965219573	2.4551917428859387	2.7216916215617912	2.5618804998456834	2.103927577375758	2.764977353699601	3.3528741301724287	2.200761533213444	2.468554532853025	2.4622459407026787	2.102992331159265	2.0729802613692327	2.217594208908022	2.479749504217797	4.650086998829196	4.5926896481596025	4.242770626262596	4.381680598102173
ABHD10	0.0004778507305539791	5.400631817818102	5.253734996905611	4.160955207225426	5.296609692819563	6.912299055101658	3.91534577760906	5.460115015351872	4.874822782104107	6.271642727242551	6.378373166144804	4.738568205058788	5.938703521099727	6.635694834671305	4.962533504559709	3.5808272025982526	3.883529820981306	2.662925697885119	3.67639907040025
ABHD13	1.1763500585144656e-07	4.391790318190096	5.0075460583173825	4.374166865116134	6.128515492195051	4.7173831087022124	5.6254860949432475	2.7462368773708503	3.9199390843905113	4.504339906625303	4.12783332472874	4.187340419625627	4.272110127525131	6.451714405945628	5.337591532432492	1.9643869672949035	2.2767383953807627	2.4394815874865725	1.954483461518799
ABHD15	8.193299209114361e-05	6.79160741887305	6.446432066512434	6.318220616036195	6.3933793435944555	7.509636970897974	10.45103234949798	4.6013062643384615	6.915543252587498	5.39816461082103	5.197776737060668	5.361007588383966	6.348149999730911	7.417237625594762	7.600189875289885	4.89472915568437	3.925026961537331	3.7687607452120804	4.0900987280862315
